Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit
11/8/23,AMOREBIETA,LEVANTE,1,1
11/8/23,VALLADOLID,GIJON,2,0
12/8/23,SANTANDER,EIBAR,4,0
12/8/23,ZARAGOZA,VILLARREALB,2,0
12/8/23,ELCHE,FERROL,0,1
13/8/23,BURGOS,HUESCA,1,1
13/8/23,ALBACETE,ESPANYOL,1,1
13/8/23,CARTAGENA,ELDENSE,0,1
13/8/23,LEGANES,ANDORRA,0,1
14/8/23,MIRANDES,ALCORCON,4,0
14/8/23,TENERIFE,OVIEDO,1,0
18/8/23,ANDORRA,CARTAGENA,3,2
18/8/23,ZARAGOZA,VALLADOLID,1,0
19/8/23,EIBAR,ELCHE,2,1
19/8/23,ESPANYOL,SANTANDER,2,0
19/8/23,LEVANTE,BURGOS,3,2
19/8/23,ALCORCON,LEGANES,0,2
20/8/23,OVIEDO,FERROL,1,1
20/8/23,GIJON,MIRANDES,3,0
20/8/23,ALBACETE,AMOREBIETA,2,2
21/8/23,VILLARREALB,ELDENSE,3,1
21/8/23,HUESCA,TENERIFE,0,2
25/8/23,CARTAGENA,LEVANTE,0,1
26/8/23,BURGOS,OVIEDO,1,0
26/8/23,TENERIFE,ZARAGOZA,0,1
26/8/23,ELCHE,VILLARREALB,1,0
26/8/23,VALLADOLID,ALCORCON,0,2
27/8/23,FERROL,GIJON,2,0
27/8/23,MIRANDES,ESPANYOL,0,1
27/8/23,AMOREBIETA,ANDORRA,3,0
27/8/23,LEGANES,ALBACETE,2,0
28/8/23,ELDENSE,EIBAR,2,1
28/8/23,SANTANDER,HUESCA,0,0
1/9/23,ALCORCON,FERROL,1,1
1/9/23,ALBACETE,VALLADOLID,2,0
2/9/23,GIJON,BURGOS,2,1
2/9/23,LEVANTE,OVIEDO,1,1
2/9/23,ELCHE,SANTANDER,1,1
2/9/23,VILLARREALB,CARTAGENA,1,2
3/9/23,ANDORRA,TENERIFE,0,1
3/9/23,EIBAR,LEGANES,0,1
3/9/23,ZARAGOZA,ELDENSE,2,0
3/9/23,ESPANYOL,AMOREBIETA,3,2
3/9/23,HUESCA,MIRANDES,1,1
8/9/23,LEVANTE,ESPANYOL,1,4
9/9/23,BURGOS,EIBAR,1,0
9/9/23,OVIEDO,GIJON,0,0
9/9/23,TENERIFE,ALBACETE,2,0
9/9/23,LEGANES,HUESCA,2,0
10/9/23,FERROL,VILLARREALB,2,2
10/9/23,SANTANDER,AMOREBIETA,1,0
10/9/23,MIRANDES,ANDORRA,4,3
10/9/23,CARTAGENA,ZARAGOZA,1,3
10/9/23,VALLADOLID,ELCHE,1,1
11/9/23,ELDENSE,ALCORCON,2,2
15/9/23,ZARAGOZA,SANTANDER,1,1
16/9/23,HUESCA,VILLARREALB,2,2
16/9/23,VALLADOLID,CARTAGENA,1,0
16/9/23,ALCORCON,LEVANTE,0,2
16/9/23,ALBACETE,BURGOS,2,1
17/9/23,AMOREBIETA,MIRANDES,2,0
17/9/23,EIBAR,FERROL,2,0
17/9/23,ESPANYOL,ELDENSE,3,3
17/9/23,ELCHE,LEGANES,1,0
17/9/23,GIJON,TENERIFE,2,1
18/9/23,ANDORRA,OVIEDO,1,0
22/9/23,CARTAGENA,EIBAR,1,2
23/9/23,ANDORRA,GIJON,0,0
23/9/23,LEVANTE,ELDENSE,2,0
23/9/23,BURGOS,ELCHE,4,0
23/9/23,ALCORCON,HUESCA,0,2
23/9/23,SANTANDER,ALBACETE,2,1
24/9/23,VILLARREALB,AMOREBIETA,3,1
24/9/23,OVIEDO,VALLADOLID,0,1
24/9/23,MIRANDES,LEGANES,1,3
25/9/23,FERROL,ZARAGOZA,1,0
25/9/23,TENERIFE,ESPANYOL,1,0
29/9/23,LEGANES,SANTANDER,2,1
30/9/23,EIBAR,TENERIFE,3,0
30/9/23,ELCHE,LEVANTE,0,0
30/9/23,VILLARREALB,ALCORCON,2,2
30/9/23,ALBACETE,ANDORRA,3,1
1/10/23,ELDENSE,OVIEDO,1,3
1/10/23,ZARAGOZA,MIRANDES,0,1
1/10/23,VALLADOLID,BURGOS,3,0
1/10/23,AMOREBIETA,CARTAGENA,0,0
1/10/23,HUESCA,GIJON,0,1
2/10/23,ESPANYOL,FERROL,3,0
3/10/23,LEVANTE,VILLARREALB,1,1
3/10/23,ALCORCON,ALBACETE,1,2
3/10/23,TENERIFE,SANTANDER,2,0
4/10/23,OVIEDO,HUESCA,1,0
4/10/23,ELDENSE,VALLADOLID,0,1
4/10/23,BURGOS,LEGANES,1,0
4/10/23,GIJON,ELCHE,2,0
5/10/23,MIRANDES,EIBAR,1,3
5/10/23,ANDORRA,ZARAGOZA,0,1
5/10/23,CARTAGENA,ESPANYOL,0,2
5/10/23,FERROL,AMOREBIETA,1,0
6/10/23,ALBACETE,LEVANTE,0,2
7/10/23,HUESCA,ELDENSE,0,1
7/10/23,SANTANDER,GIJON,3,2
7/10/23,LEGANES,OVIEDO,0,0
8/10/23,AMOREBIETA,EIBAR,1,2
8/10/23,VALLADOLID,MIRANDES,3,2
8/10/23,FERROL,CARTAGENA,1,1
8/10/23,TENERIFE,BURGOS,2,1
8/10/23,ZARAGOZA,ALCORCON,0,2
9/10/23,ELCHE,ANDORRA,2,1
9/10/23,VILLARREALB,ESPANYOL,3,1
13/10/23,OVIEDO,ALBACETE,3,0
14/10/23,MIRANDES,TENERIFE,1,1
14/10/23,CARTAGENA,SANTANDER,2,3
14/10/23,GIJON,ZARAGOZA,2,2
14/10/23,ESPANYOL,VALLADOLID,2,0
15/10/23,BURGOS,VILLARREALB,3,2
15/10/23,ELDENSE,ELCHE,1,1
15/10/23,ANDORRA,ALCORCON,2,0
15/10/23,EIBAR,HUESCA,1,1
15/10/23,LEGANES,AMOREBIETA,6,0
16/10/23,LEVANTE,FERROL,1,0
20/10/23,ESPANYOL,LEGANES,0,1
21/10/23,AMOREBIETA,OVIEDO,0,0
21/10/23,VILLARREALB,MIRANDES,0,3
21/10/23,TENERIFE,LEVANTE,0,0
21/10/23,ZARAGOZA,EIBAR,2,3
22/10/23,FERROL,ELDENSE,1,1
22/10/23,HUESCA,ELCHE,0,1
22/10/23,ALBACETE,GIJON,1,3
22/10/23,SANTANDER,BURGOS,3,0
22/10/23,VALLADOLID,ANDORRA,2,0
23/10/23,ALCORCON,CARTAGENA,1,1
27/10/23,EIBAR,VALLADOLID,5,1
28/10/23,ELDENSE,AMOREBIETA,2,0
28/10/23,GIJON,ESPANYOL,2,0
28/10/23,ANDORRA,LEVANTE,2,0
28/10/23,ELCHE,TENERIFE,2,1
29/10/23,MIRANDES,CARTAGENA,2,1
29/10/23,HUESCA,ALBACETE,0,0
29/10/23,LEGANES,VILLARREALB,1,0
29/10/23,OVIEDO,ALCORCON,2,0
29/10/23,SANTANDER,FERROL,1,3
30/10/23,BURGOS,ZARAGOZA,1,1
3/11/23,ESPANYOL,EIBAR,2,2
4/11/23,VILLARREALB,GIJON,0,3
4/11/23,LEVANTE,MIRANDES,2,2
4/11/23,VALLADOLID,TENERIFE,2,0
4/11/23,ALBACETE,ELCHE,1,1
5/11/23,FERROL,ANDORRA,1,0
5/11/23,AMOREBIETA,HUESCA,0,1
5/11/23,CARTAGENA,LEGANES,0,3
5/11/23,ALCORCON,SANTANDER,3,1
5/11/23,ELDENSE,BURGOS,2,0
6/11/23,ZARAGOZA,OVIEDO,0,0
10/11/23,LEGANES,LEVANTE,2,1
11/11/23,SANTANDER,VALLADOLID,2,3
11/11/23,MIRANDES,FERROL,1,2
11/11/23,ELCHE,ZARAGOZA,2,0
11/11/23,GIJON,AMOREBIETA,1,1
12/11/23,BURGOS,ALCORCON,4,2
12/11/23,ANDORRA,ELDENSE,1,3
12/11/23,HUESCA,ESPANYOL,1,1
12/11/23,TENERIFE,VILLARREALB,0,1
12/11/23,EIBAR,ALBACETE,1,1
13/11/23,OVIEDO,CARTAGENA,1,1
17/11/23,VALLADOLID,LEGANES,1,1
18/11/23,ALCORCON,GIJON,0,0
18/11/23,AMOREBIETA,TENERIFE,2,0
18/11/23,ZARAGOZA,HUESCA,0,2
18/11/23,ESPANYOL,ELCHE,2,0
19/11/23,FERROL,BURGOS,1,1
19/11/23,ELDENSE,MIRANDES,2,2
19/11/23,OVIEDO,EIBAR,2,1
19/11/23,VILLARREALB,ANDORRA,0,0
19/11/23,CARTAGENA,ALBACETE,1,1
20/11/23,LEVANTE,SANTANDER,2,4
24/11/23,HUESCA,VALLADOLID,0,1
25/11/23,BURGOS,ANDORRA,0,0
25/11/23,SANTANDER,VILLARREALB,2,0
25/11/23,ALBACETE,ZARAGOZA,1,0
25/11/23,EIBAR,LEVANTE,3,1
26/11/23,LEGANES,FERROL,2,2
26/11/23,MIRANDES,OVIEDO,2,1
26/11/23,ELCHE,AMOREBIETA,2,0
26/11/23,TENERIFE,CARTAGENA,1,1
26/11/23,ESPANYOL,ALCORCON,2,0
27/11/23,GIJON,ELDENSE,2,0
1/12/23,OVIEDO,ESPANYOL,2,0
2/12/23,ELDENSE,TENERIFE,0,3
2/12/23,CARTAGENA,GIJON,1,0
2/12/23,ZARAGOZA,LEGANES,1,0
2/12/23,LEVANTE,VALLADOLID,2,1
3/12/23,ANDORRA,HUESCA,1,0
3/12/23,ALCORCON,ELCHE,0,2
3/12/23,FERROL,ALBACETE,5,4
3/12/23,MIRANDES,SANTANDER,0,0
3/12/23,AMOREBIETA,BURGOS,0,1
4/12/23,VILLARREALB,EIBAR,1,0
8/12/23,ALBACETE,VILLARREALB,2,0
8/12/23,ESPANYOL,ZARAGOZA,1,1
9/12/23,VALLADOLID,AMOREBIETA,2,1
9/12/23,GIJON,LEVANTE,0,0
9/12/23,BURGOS,MIRANDES,0,0
10/12/23,ELCHE,CARTAGENA,1,2
10/12/23,SANTANDER,OVIEDO,2,2
10/12/23,EIBAR,ANDORRA,2,2
10/12/23,LEGANES,ELDENSE,1,1
10/12/23,HUESCA,FERROL,1,0
11/12/23,TENERIFE,ALCORCON,1,0
15/12/23,OVIEDO,ELCHE,3,2
16/12/23,ELDENSE,SANTANDER,3,3
16/12/23,ANDORRA,ESPANYOL,1,1
16/12/23,CARTAGENA,BURGOS,0,3
16/12/23,GIJON,LEGANES,1,1
16/12/23,MIRANDES,ALBACETE,2,0
17/12/23,ALCORCON,EIBAR,1,0
17/12/23,LEVANTE,HUESCA,2,1
17/12/23,AMOREBIETA,ZARAGOZA,1,1
17/12/23,FERROL,TENERIFE,3,1
18/12/23,VILLARREALB,VALLADOLID,1,0
19/12/23,SANTANDER,ANDORRA,2,0
19/12/23,ALBACETE,ELDENSE,1,1
19/12/23,ESPANYOL,BURGOS,3,3
19/12/23,ELCHE,MIRANDES,0,0
20/12/23,ZARAGOZA,LEVANTE,2,2
20/12/23,EIBAR,GIJON,1,1
20/12/23,LEGANES,TENERIFE,1,1
21/12/23,VILLARREALB,OVIEDO,1,1
21/12/23,HUESCA,CARTAGENA,3,0
21/12/23,VALLADOLID,FERROL,0,1
21/12/23,AMOREBIETA,ALCORCON,1,2
12/1/24,EIBAR,SANTANDER,2,0
13/1/24,ALCORCON,MIRANDES,0,0
13/1/24,LEVANTE,ALBACETE,3,2
13/1/24,TENERIFE,ELCHE,0,1
13/1/24,OVIEDO,AMOREBIETA,1,1
13/1/24,BURGOS,VALLADOLID,1,0
13/1/24,FERROL,ESPANYOL,0,0
14/1/24,ANDORRA,LEGANES,2,3
14/1/24,GIJON,HUESCA,0,0
14/1/24,CARTAGENA,VILLARREALB,4,1
15/1/24,ELDENSE,ZARAGOZA,1,1
20/1/24,ALBACETE,ALCORCON,0,1
20/1/24,AMOREBIETA,ELDENSE,0,2
20/1/24,ZARAGOZA,ANDORRA,2,0
20/1/24,TENERIFE,GIJON,1,2
20/1/24,ESPANYOL,VILLARREALB,2,1
20/1/24,FERROL,OVIEDO,1,3
21/1/24,SANTANDER,CARTAGENA,0,2
21/1/24,MIRANDES,LEVANTE,1,1
21/1/24,HUESCA,EIBAR,2,3
21/1/24,ELCHE,VALLADOLID,0,0
22/1/24,LEGANES,BURGOS,2,0
26/1/24,EIBAR,MIRANDES,1,0
27/1/24,ALCORCON,ZARAGOZA,0,0
27/1/24,CARTAGENA,AMOREBIETA,1,0
27/1/24,OVIEDO,LEGANES,1,0
27/1/24,LEVANTE,TENERIFE,0,0
28/1/24,ELDENSE,ESPANYOL,3,2
28/1/24,ANDORRA,ELCHE,0,1
28/1/24,VILLARREALB,HUESCA,1,1
28/1/24,BURGOS,ALBACETE,2,1
28/1/24,GIJON,FERROL,1,2
29/1/24,VALLADOLID,SANTANDER,3,1
2/2/24,ELCHE,BURGOS,2,0
3/2/24,ALBACETE,CARTAGENA,1,1
3/2/24,HUESCA,ALCORCON,1,0
3/2/24,MIRANDES,VILLARREALB,3,0
3/2/24,LEGANES,VALLADOLID,0,0
3/2/24,TENERIFE,ANDORRA,0,0
4/2/24,FERROL,EIBAR,1,1
4/2/24,AMOREBIETA,SANTANDER,0,1
4/2/24,OVIEDO,ELDENSE,1,1
4/2/24,ESPANYOL,LEVANTE,2,1
5/2/24,ZARAGOZA,GIJON,3,0
9/2/24,LEVANTE,LEGANES,0,0
10/2/24,ELDENSE,HUESCA,0,0
10/2/24,AMOREBIETA,ELCHE,1,0
10/2/24,GIJON,OVIEDO,1,0
10/2/24,SANTANDER,ESPANYOL,2,0
11/2/24,VILLARREALB,TENERIFE,1,0
11/2/24,ALCORCON,ANDORRA,1,0
11/2/24,CARTAGENA,MIRANDES,1,0
11/2/24,EIBAR,ZARAGOZA,1,0
11/2/24,BURGOS,FERROL,2,0
12/2/24,VALLADOLID,ALBACETE,0,0
16/2/24,ZARAGOZA,CARTAGENA,1,2
17/2/24,ANDORRA,VILLARREALB,1,1
17/2/24,OVIEDO,BURGOS,5,0
17/2/24,GIJON,VALLADOLID,1,1
17/2/24,ESPANYOL,MIRANDES,3,0
18/2/24,ALBACETE,SANTANDER,2,0
18/2/24,FERROL,LEVANTE,0,0
18/2/24,LEGANES,ALCORCON,3,0
18/2/24,HUESCA,AMOREBIETA,0,0
18/2/24,ELCHE,EIBAR,0,0
19/2/24,TENERIFE,ELDENSE,1,0
23/2/24,VALLADOLID,OVIEDO,3,0
24/2/24,SANTANDER,LEGANES,2,1
24/2/24,EIBAR,ESPANYOL,2,3
24/2/24,VILLARREALB,ZARAGOZA,0,0
25/2/24,ELDENSE,FERROL,2,0
25/2/24,ALCORCON,TENERIFE,1,1
25/2/24,BURGOS,GIJON,1,0
25/2/24,CARTAGENA,ELCHE,0,1
25/2/24,AMOREBIETA,ALBACETE,1,1
26/2/24,MIRANDES,HUESCA,0,3
1/3/24,GIJON,ALBACETE,2,1
2/3/24,ELDENSE,VILLARREALB,2,0
2/3/24,ESPANYOL,HUESCA,0,0
2/3/24,FERROL,SANTANDER,2,2
2/3/24,OVIEDO,LEVANTE,3,2
2/3/24,BURGOS,CARTAGENA,3,0
3/3/24,ANDORRA,VALLADOLID,2,1
3/3/24,TENERIFE,MIRANDES,2,1
3/3/24,ZARAGOZA,AMOREBIETA,0,1
3/3/24,LEGANES,EIBAR,0,2
4/3/24,ELCHE,ALCORCON,3,0
8/3/24,HUESCA,ANDORRA,2,0
9/3/24,ALBACETE,OVIEDO,1,2
9/3/24,MIRANDES,ELDENSE,3,1
9/3/24,VALLADOLID,ZARAGOZA,2,0
9/3/24,CARTAGENA,FERROL,2,1
10/3/24,SANTANDER,TENERIFE,4,2
10/3/24,LEVANTE,GIJON,1,0
10/3/24,VILLARREALB,ELCHE,0,1
10/3/24,EIBAR,BURGOS,0,1
10/3/24,ALCORCON,ESPANYOL,1,1
11/3/24,AMOREBIETA,LEGANES,0,1
13/3/24,LEVANTE,ANDORRA,0,0
15/3/24,ELDENSE,CARTAGENA,0,0
16/3/24,BURGOS,LEVANTE,1,1
16/3/24,EIBAR,VILLARREALB,2,0
16/3/24,OVIEDO,SANTANDER,1,1
16/3/24,TENERIFE,HUESCA,0,0
16/3/24,GIJON,ALCORCON,1,0
17/3/24,LEGANES,MIRANDES,4,0
17/3/24,FERROL,VALLADOLID,2,0
17/3/24,ELCHE,ALBACETE,3,2
17/3/24,ZARAGOZA,ESPANYOL,0,1
18/3/24,ANDORRA,AMOREBIETA,0,1
23/3/24,ALCORCON,OVIEDO,1,0
23/3/24,VILLARREALB,LEGANES,1,2
23/3/24,CARTAGENA,ANDORRA,1,0
23/3/24,ESPANYOL,TENERIFE,1,1
24/3/24,AMOREBIETA,GIJON,3,1
24/3/24,VALLADOLID,EIBAR,3,1
24/3/24,HUESCA,BURGOS,3,0
24/3/24,MIRANDES,ZARAGOZA,0,0
24/3/24,LEVANTE,ELCHE,3,2
24/3/24,SANTANDER,ELDENSE,2,1
25/3/24,ALBACETE,FERROL,1,1
29/3/24,BURGOS,ESPANYOL,0,0
30/3/24,VALLADOLID,LEVANTE,0,0
30/3/24,EIBAR,ELDENSE,5,1
30/3/24,ANDORRA,MIRANDES,1,0
30/3/24,LEGANES,CARTAGENA,0,0
30/3/24,ALBACETE,HUESCA,1,1
30/3/24,GIJON,SANTANDER,2,3
31/3/24,ALCORCON,AMOREBIETA,1,1
31/3/24,FERROL,ELCHE,1,0
31/3/24,ZARAGOZA,TENERIFE,3,1
31/3/24,OVIEDO,VILLARREALB,2,1
5/4/24,ELCHE,OVIEDO,0,2
5/4/24,AMOREBIETA,FERROL,3,1
6/4/24,ELDENSE,ANDORRA,0,2
6/4/24,LEVANTE,ZARAGOZA,2,1
7/4/24,HUESCA,LEGANES,0,0
7/4/24,MIRANDES,GIJON,1,3
7/4/24,VILLARREALB,BURGOS,2,1
7/4/24,ESPANYOL,ALBACETE,2,1
7/4/24,TENERIFE,EIBAR,2,1
7/4/24,CARTAGENA,VALLADOLID,0,2
8/4/24,SANTANDER,ALCORCON,0,1
12/4/24,LEGANES,ESPANYOL,0,0
13/4/24,GIJON,CARTAGENA,1,0
13/4/24,VALLADOLID,ELDENSE,1,0
13/4/24,LEVANTE,AMOREBIETA,1,2
14/4/24,OVIEDO,MIRANDES,1,1
14/4/24,ANDORRA,EIBAR,0,2
14/4/24,ALBACETE,TENERIFE,1,0
14/4/24,BURGOS,SANTANDER,2,1
14/4/24,ZARAGOZA,ELCHE,1,1
14/4/24,FERROL,HUESCA,2,1
15/4/24,ALCORCON,VILLARREALB,1,0
19/4/24,TENERIFE,LEGANES,0,0
20/4/24,AMOREBIETA,VALLADOLID,0,3
20/4/24,VILLARREALB,FERROL,1,0
20/4/24,SANTANDER,LEVANTE,0,0
20/4/24,ELCHE,GIJON,2,1
20/4/24,HUESCA,ZARAGOZA,1,2
21/4/24,ESPANYOL,ANDORRA,1,1
21/4/24,EIBAR,ALCORCON,2,0
21/4/24,ELDENSE,ALBACETE,0,1
21/4/24,MIRANDES,BURGOS,2,1
22/4/24,CARTAGENA,OVIEDO,2,0
26/4/24,ANDORRA,SANTANDER,1,1
27/4/24,BURGOS,AMOREBIETA,2,2
27/4/24,LEGANES,ZARAGOZA,1,1
27/4/24,ELCHE,ESPANYOL,2,2
28/4/24,GIJON,VILLARREALB,0,3
28/4/24,OVIEDO,TENERIFE,0,1
28/4/24,ALCORCON,ELDENSE,0,0
28/4/24,LEVANTE,CARTAGENA,0,1
28/4/24,VALLADOLID,HUESCA,1,0
28/4/24,ALBACETE,EIBAR,2,1
29/4/24,FERROL,MIRANDES,0,2
3/5/24,VILLARREALB,LEVANTE,0,3
4/5/24,MIRANDES,VALLADOLID,0,1
4/5/24,HUESCA,OVIEDO,0,2
4/5/24,SANTANDER,ELCHE,3,1
4/5/24,CARTAGENA,ALCORCON,1,0
5/5/24,EIBAR,AMOREBIETA,5,0
5/5/24,ESPANYOL,GIJON,0,0
5/5/24,ANDORRA,ALBACETE,0,1
5/5/24,ELDENSE,LEGANES,1,2
5/5/24,ZARAGOZA,BURGOS,1,3
5/5/24,TENERIFE,FERROL,2,0
10/5/24,BURGOS,ELDENSE,1,2
11/5/24,SANTANDER,MIRANDES,1,0
11/5/24,GIJON,ANDORRA,5,2
11/5/24,FERROL,ALCORCON,2,1
11/5/24,VALLADOLID,ESPANYOL,0,0
11/5/24,LEVANTE,EIBAR,2,2
12/5/24,AMOREBIETA,VILLARREALB,2,0
12/5/24,OVIEDO,ZARAGOZA,1,0
12/5/24,ALBACETE,LEGANES,1,0
12/5/24,CARTAGENA,TENERIFE,2,0
12/5/24,ELCHE,HUESCA,0,3
17/5/24,MIRANDES,ELCHE,1,1
18/5/24,ANDORRA,BURGOS,1,0
18/5/24,LEGANES,GIJON,2,1
18/5/24,HUESCA,SANTANDER,0,3
18/5/24,ELDENSE,LEVANTE,0,0
18/5/24,TENERIFE,AMOREBIETA,0,1
19/5/24,EIBAR,CARTAGENA,1,0
19/5/24,ALCORCON,VALLADOLID,1,1
19/5/24,ZARAGOZA,FERROL,2,2
20/5/24,VILLARREALB,ALBACETE,2,2
20/5/24,ESPANYOL,OVIEDO,2,1
26/5/24,GIJON,EIBAR,1,0
26/5/24,ALBACETE,MIRANDES,2,2
26/5/24,LEVANTE,ALCORCON,2,2
26/5/24,FERROL,LEGANES,2,2
26/5/24,CARTAGENA,HUESCA,0,2
26/5/24,VALLADOLID,VILLARREALB,3,2
26/5/24,ELCHE,ELDENSE,1,2
26/5/24,AMOREBIETA,ESPANYOL,0,0
26/5/24,OVIEDO,ANDORRA,3,0
26/5/24,SANTANDER,ZARAGOZA,0,2
26/5/24,BURGOS,TENERIFE,1,1
2/6/24,HUESCA,LEVANTE,0,0
2/6/24,ALCORCON,BURGOS,1,1
2/6/24,ANDORRA,FERROL,1,0
2/6/24,TENERIFE,VALLADOLID,2,1
2/6/24,EIBAR,OVIEDO,4,3
2/6/24,LEGANES,ELCHE,2,0
2/6/24,MIRANDES,AMOREBIETA,1,0
2/6/24,ESPANYOL,CARTAGENA,3,0
2/6/24,ELDENSE,GIJON,0,1
2/6/24,VILLARREALB,SANTANDER,1,0
2/6/24,ZARAGOZA,ALBACETE,1,1
8/6/24,OVIEDO,EIBAR,0,0
9/6/24,GIJON,ESPANYOL,0,1
12/6/24,EIBAR,OVIEDO,0,2
13/6/24,ESPANYOL,GIJON,0,0
16/6/24,OVIEDO,ESPANYOL,1,0
23/6/24,ESPANYOL,OVIEDO,2,0
