Fecha,GolesLocal,GolesVisit,Total goles,OneHotEncoding,,Resultado
3/12/23,0,0,0,0,,
3/12/23,0,1,1,0,,
4/12/23,1,0,1,0,,
8/12/23,2,0,2,0,,
8/12/23,1,1,2,0,,
9/12/23,2,1,3,1,,
9/12/23,0,0,0,0,,
9/12/23,0,0,0,0,,
10/12/23,1,2,3,1,,
10/12/23,2,2,4,1,,
10/12/23,2,2,4,1,,
10/12/23,1,1,2,0,,
10/12/23,1,0,1,0,,
11/12/23,1,0,1,0,,
15/12/23,3,2,5,1,,
16/12/23,3,3,6,1,,
16/12/23,1,1,2,0,,
16/12/23,0,3,3,1,,
16/12/23,1,1,2,0,,
16/12/23,2,0,2,0,,
17/12/23,1,0,1,0,,
17/12/23,2,1,3,1,,
17/12/23,1,1,2,0,,
17/12/23,3,1,4,1,,
18/12/23,1,0,1,0,,
19/12/23,2,0,2,0,,
19/12/23,1,1,2,0,,
19/12/23,3,3,6,1,,
19/12/23,0,0,0,0,,
20/12/23,2,2,4,1,,
20/12/23,1,1,2,0,,
20/12/23,1,1,2,0,,
21/12/23,1,1,2,0,,
21/12/23,3,0,3,1,,
21/12/23,0,1,1,0,,
21/12/23,1,2,3,1,,
12/1/24,2,0,2,0,,
13/1/24,0,0,0,0,,
13/1/24,3,2,5,1,,
13/1/24,0,1,1,0,,
13/1/24,1,1,2,0,,
13/1/24,1,0,1,0,,
13/1/24,0,0,0,0,,
14/1/24,2,3,5,1,,
14/1/24,0,0,0,0,,
14/1/24,4,1,5,1,,
15/1/24,1,1,2,0,,
20/1/24,0,1,1,0,,
20/1/24,0,2,2,0,,
20/1/24,2,0,2,0,,
20/1/24,1,2,3,1,,
20/1/24,2,1,3,1,,
20/1/24,1,3,4,1,,
21/1/24,0,2,2,0,,
21/1/24,1,1,2,0,,
21/1/24,2,3,5,1,,
21/1/24,0,0,0,0,,
22/1/24,2,0,2,0,,
26/1/24,1,0,1,0,,
27/1/24,0,0,0,0,,
27/1/24,1,0,1,0,,
27/1/24,1,0,1,0,,
27/1/24,0,0,0,0,,
28/1/24,3,2,5,1,,
28/1/24,0,1,1,0,,
28/1/24,1,1,2,0,,
28/1/24,2,1,3,1,,
28/1/24,1,2,3,1,,
29/1/24,3,1,4,1,,
2/2/24,2,0,2,0,,
3/2/24,1,1,2,0,,
3/2/24,1,0,1,0,,
3/2/24,3,0,3,1,,
3/2/24,0,0,0,0,,
3/2/24,0,0,0,0,,
4/2/24,1,1,2,0,,
4/2/24,0,1,1,0,,
4/2/24,1,1,2,0,,
4/2/24,2,1,3,1,,
5/2/24,3,0,3,1,,
9/2/24,0,0,0,0,,
10/2/24,0,0,0,0,,
10/2/24,1,0,1,0,,
10/2/24,1,0,1,0,,
10/2/24,2,0,2,0,,
11/2/24,1,0,1,0,,
11/2/24,1,0,1,0,,
11/2/24,1,0,1,0,,
11/2/24,1,0,1,0,,
11/2/24,2,0,2,0,,
12/2/24,0,0,0,0,,
16/2/24,1,2,3,1,,
17/2/24,1,1,2,0,,
17/2/24,5,0,5,1,,
17/2/24,1,1,2,0,,
17/2/24,3,0,3,1,,
18/2/24,2,0,2,0,,
18/2/24,0,0,0,0,,
18/2/24,3,0,3,1,,
18/2/24,0,0,0,0,,
18/2/24,0,0,0,0,,
19/2/24,1,0,1,0,,
23/2/24,3,0,3,1,,
24/2/24,2,1,3,1,,
24/2/24,2,3,5,1,,
24/2/24,0,0,0,0,,
25/2/24,2,0,2,0,,
25/2/24,1,1,2,0,,
25/2/24,1,0,1,0,,
25/2/24,0,1,1,0,,
25/2/24,1,1,2,0,,
26/2/24,0,3,3,1,,
1/3/24,2,1,3,1,,
2/3/24,2,0,2,0,,
2/3/24,0,0,0,0,,
2/3/24,2,2,4,1,,
2/3/24,3,2,5,1,,
2/3/24,3,0,3,1,,
3/3/24,2,1,3,1,,
3/3/24,2,1,3,1,,
3/3/24,0,1,1,0,,
3/3/24,0,2,2,0,,
4/3/24,3,0,3,1,,
8/3/24,2,0,2,0,,
9/3/24,1,2,3,1,,
9/3/24,3,1,4,1,,
9/3/24,2,0,2,0,,
9/3/24,2,1,3,1,,
10/3/24,4,2,6,1,,
10/3/24,1,0,1,0,,
10/3/24,0,1,1,0,,
10/3/24,0,1,1,0,,
10/3/24,1,1,2,0,,
11/3/24,0,1,1,0,,
13/3/24,0,0,0,0,,
15/3/24,0,0,0,0,,
16/3/24,1,1,2,0,,
16/3/24,2,0,2,0,,
16/3/24,1,1,2,0,,
16/3/24,0,0,0,0,,
16/3/24,1,0,1,0,,
17/3/24,4,0,4,1,,
17/3/24,2,0,2,0,,
17/3/24,3,2,5,1,,
17/3/24,0,1,1,0,,
18/3/24,0,1,1,0,,
23/3/24,1,0,1,0,,
23/3/24,1,2,3,1,,
23/3/24,1,0,1,0,,
23/3/24,1,1,2,0,,
24/3/24,3,1,4,1,,
24/3/24,3,1,4,1,,
24/3/24,3,0,3,1,,
24/3/24,0,0,0,0,,
24/3/24,3,2,5,1,,
24/3/24,2,1,3,1,,
25/3/24,1,1,2,0,,
29/3/24,0,0,0,0,,
30/3/24,0,0,0,0,,
30/3/24,5,1,6,1,,
30/3/24,1,0,1,0,,
30/3/24,0,0,0,0,,
30/3/24,1,1,2,0,,
30/3/24,2,3,5,1,,
31/3/24,1,1,2,0,,
31/3/24,1,0,1,0,,
31/3/24,3,1,4,1,,
31/3/24,2,1,3,1,,
5/4/24,0,2,2,0,,
5/4/24,3,1,4,1,,
6/4/24,0,2,2,0,,
6/4/24,2,1,3,1,,
7/4/24,0,0,0,0,,
7/4/24,1,3,4,1,,
