PartidoID,Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit,Tiros Local,Tiros Visit,Tiros a puerta Local,Tiros a puerta Visit,Posesion Local,Posesion Visit,Pases Local,Pases Visit,Precision de pases Local,Precision de pases Visit,Faltas Local,Faltas Visit,Tarjetas amarillas Local,Tarjetas amarillas Visit,Tarjetas rojas Local,Tarjetas rojas Visit,Fueras de juego Local,Fueras de juego Visit,Saques de esquina Local,Saques de esquina Visit
22-23-038,4/9/22,ANDORRA,GRANADA,1,0,6,17,2,3,0.59,0.41,522,345,0.8,0.71,13,13,1,2,0,0,3,3,2,4
22-23-039,4/9/22,MALAGA,ALBACETE,1,2,18,8,7,6,0.61,0.39,483,319,0.82,0.69,11,19,2,6,0,0,0,1,7,4
22-23-040,4/9/22,BURGOS,CARTAGENA,1,0,12,17,3,4,0.37,0.63,315,508,0.69,0.83,19,7,1,1,0,0,2,5,4,10
22-23-041,4/9/22,HUESCA,IBIZA,3,0,12,6,4,1,0.32,0.68,253,531,0.68,0.83,16,14,3,2,0,0,2,1,2,1
22-23-042,4/9/22,ZARAGOZA,LUGO,1,2,12,12,4,2,0.67,0.33,483,246,0.79,0.64,13,11,3,2,0,0,1,2,9,2
22-23-043,5/9/22,OVIEDO,LEVANTE,1,1,14,7,5,1,0.49,0.51,370,392,0.77,0.75,14,16,3,6,0,1,0,2,3,3
22-23-044,9/9/22,PALMAS,LEGANES,1,0,7,3,3,1,0.54,0.46,472,394,0.79,0.74,13,11,3,4,0,0,0,4,4,1
22-23-045,10/9/22,LUGO,ALAVES,1,2,14,21,3,7,0.36,0.64,194,353,0.56,0.75,18,14,1,6,1,1,5,1,3,11
22-23-046,10/9/22,BURGOS,OVIEDO,0,0,17,8,6,2,0.54,0.46,384,333,0.73,0.71,10,14,1,1,0,0,2,0,9,6
22-23-047,10/9/22,CARTAGENA,ALBACETE,2,1,13,11,8,4,0.49,0.51,377,376,0.75,0.78,18,18,3,1,0,0,2,2,2,2
22-23-048,10/9/22,LEVANTE,VILLARREALB,4,1,14,13,6,3,0.44,0.56,320,415,0.78,0.79,12,10,5,3,0,0,3,0,5,2
22-23-049,11/9/22,GIJON,SANTANDER,0,2,14,9,5,3,0.64,0.36,403,278,0.76,0.65,16,15,4,5,0,0,1,2,2,7
22-23-050,11/9/22,IBIZA,TENERIFE,1,0,8,7,2,1,0.49,0.50,423,374,0.82,0.78,12,12,5,3,0,0,1,4,6,7
22-23-051,11/9/22,MIRANDES,ANDORRA,1,1,10,14,4,6,0.34,0.66,263,516,0.71,0.84,10,8,0,1,0,1,4,1,3,5
22-23-052,11/9/22,PONFERRADINA,ZARAGOZA,1,2,10,13,4,6,0.65,0.35,520,281,0.87,0.74,14,14,2,0,0,0,0,3,1,6
22-23-053,11/9/22,HUESCA,MALAGA,1,0,8,11,2,1,0.38,0.62,301,475,0.72,0.85,12,11,1,2,0,0,2,2,5,3
22-23-054,12/9/22,EIBAR,GRANADA,4,0,15,8,8,1,0.55,0.45,443,366,0.7,0.68,13,14,2,1,0,0,5,1,7,0
22-23-055,16/9/22,LEVANTE,CARTAGENA,0,1,10,5,5,2,0.53,0.47,408,378,0.8,0.77,18,21,2,4,0,0,3,2,3,2
22-23-056,17/9/22,VILLARREALB,LUGO,3,1,13,9,7,4,0.46,0.54,369,408,0.73,0.77,14,14,0,3,0,1,1,4,2,4
22-23-057,17/9/22,OVIEDO,IBIZA,0,1,10,6,1,1,0.69,0.31,385,346,0.73,0.74,8,16,4,2,0,1,1,2,6,3
22-23-058,17/9/22,GRANADA,MIRANDES,2,1,13,3,2,1,0.63,0.37,362,222,0.71,0.55,12,11,4,2,0,1,2,2,10,3
22-23-059,17/9/22,ANDORRA,EIBAR,2,0,14,7,10,1,0.57,0.43,488,365,0.83,0.77,12,12,3,3,0,0,1,3,11,1
22-23-060,17/9/22,ZARAGOZA,GIJON,1,0,10,8,4,1,0.57,0.43,373,310,0.69,0.62,8,10,2,4,0,0,1,3,8,2
22-23-061,18/9/22,LEGANES,BURGOS,0,0,14,8,2,3,0.7,0.3,581,256,0.84,0.67,15,21,1,1,0,0,2,2,4,0
22-23-062,18/9/22,ALAVES,HUESCA,2,1,13,11,5,3,0.48,0.52,369,387,0.78,0.78,11,12,1,2,0,0,2,0,6,4
22-23-063,18/9/22,SANTANDER,PALMAS,0,0,12,26,2,3,0.19,0.81,312,376,0.69,0.77,18,12,3,3,1,0,2,3,5,6
22-23-064,18/9/22,ALBACETE,PONFERRADINA,0,1,18,5,6,2,0.58,0.42,488,358,0.84,0.77,14,14,2,6,1,0,2,4,5,0
22-23-065,19/9/22,TENERIFE,MALAGA,3,1,20,8,6,3,0.45,0.55,341,420,0.84,0.85,15,12,1,3,0,1,2,0,4,3
22-23-066,23/9/22,GIJON,IBIZA,2,1,9,11,4,5,0.41,0.59,343,468,0.69,0.77,13,12,2,3,0,0,3,3,2,4
22-23-067,24/9/22,HUESCA,LEGANES,1,0,8,18,3,2,0.33,0.67,252,510,0.62,0.82,12,7,3,2,0,0,1,3,3,6
22-23-068,24/9/22,MIRANDES,ZARAGOZA,2,0,20,12,7,4,0.39,0.61,271,409,0.62,0.7,12,12,3,1,0,0,0,4,4,5
22-23-069,24/9/22,MALAGA,VILLARREALB,1,1,15,6,7,1,0.62,0.38,506,316,0.84,0.73,16,18,3,3,0,0,4,1,3,4
22-23-070,24/9/22,PONFERRADINA,TENERIFE,2,2,15,10,6,4,0.65,0.35,524,285,0.86,0.72,21,15,4,1,0,1,2,5,1,4
22-23-071,25/9/22,BURGOS,LEVANTE,0,0,13,17,2,4,0.52,0.48,362,331,0.78,0.78,13,13,1,3,0,0,3,0,3,9
22-23-072,25/9/22,LUGO,OVIEDO,0,0,10,6,5,4,0.51,0.49,360,380,0.70,0.75,11,13,2,2,0,0,1,1,5,7
22-23-073,25/9/22,EIBAR,SANTANDER,2,1,12,7,5,3,0.69,0.31,564,251,0.82,0.59,20,20,1,3,0,0,2,2,2,3
22-23-074,25/9/22,ALBACETE,ANDORRA,1,1,10,6,4,2,0.57,0.43,396,295,0.72,0.63,19,20,1,3,0,1,2,1,5,4
22-23-075,26/9/22,CARTAGENA,ALAVES,1,1,18,6,6,1,0.59,0.41,486,346,0.85,0.8,14,11,3,1,0,0,2,1,9,3
22-23-076,26/9/22,PALMAS,GRANADA,2,0,15,9,5,1,0.6,0.4,501,341,0.84,0.7,11,13,3,3,0,0,4,4,4,8
22-23-077,30/9/22,TENERIFE,GIJON,1,1,16,12,5,6,0.6,0.4,507,352,0.83,0.76,8,13,2,3,0,0,1,0,11,6
22-23-078,1/10/22,SANTANDER,MALAGA,0,0,16,6,3,4,0.38,0.62,301,502,0.68,0.80,14,12,2,0,0,0,2,3,4,1
22-23-079,1/10/22,MIRANDES,PALMAS,3,3,13,8,4,4,0.43,0.57,407,549,0.76,0.8,22,9,3,4,0,0,1,1,3,2
22-23-080,1/10/22,ANDORRA,LEVANTE,3,1,11,12,5,3,0.56,0.44,401,316,0.75,0.71,5,24,3,4,0,0,2,4,3,2
22-23-081,1/10/22,VILLARREALB,BURGOS,0,0,10,12,3,1,0.55,0.45,471,399,0.82,0.75,14,11,1,1,0,0,2,3,4,1
22-23-082,2/10/22,ALAVES,PONFERRADINA,3,1,15,10,9,4,0.4,0.6,337,523,0.8,0.87,16,8,2,3,0,0,3,0,6,3
22-23-083,2/10/22,LEGANES,ALBACETE,1,2,10,15,5,5,0.54,0.46,407,348,0.74,0.73,23,11,4,0,0,0,1,4,1,6
22-23-084,2/10/22,GRANADA,HUESCA,0,0,11,9,2,1,0.68,0.32,413,207,0.73,0.49,13,14,1,5,1,0,0,1,8,1
22-23-085,2/10/22,OVIEDO,CARTAGENA,1,3,6,14,3,9,0.47,0.53,394,454,0.73,0.75,6,9,2,2,0,0,1,1,7,7
22-23-086,2/10/22,IBIZA,LUGO,3,2,15,16,4,3,0.42,0.58,343,446,0.68,0.75,13,8,3,2,0,0,2,2,5,7
22-23-087,3/10/22,ZARAGOZA,EIBAR,0,0,10,3,3,1,0.59,0.41,471,330,0.83,0.7,14,12,2,8,0,2,2,1,5,1
22-23-088,7/10/22,GIJON,VILLARREALB,3,1,11,12,5,1,0.49,0.51,361,358,0.78,0.77,11,12,1,1,0,0,1,4,6,10
22-23-089,8/10/22,PONFERRADINA,GRANADA,0,0,12,13,0,3,0.36,0.64,302,541,0.68,0.81,12,13,0,0,0,0,2,4,9,2
22-23-090,8/10/22,HUESCA,LUGO,1,1,13,12,5,3,0.43,0.57,249,316,0.64,0.72,7,15,1,4,1,0,2,1,6,3
22-23-091,8/10/22,PALMAS,IBIZA,0,0,26,3,6,2,0.64,0.36,509,299,0.84,0.7,15,18,0,7,0,0,2,6,14,3
22-23-092,8/10/22,BURGOS,ALAVES,3,0,11,8,6,3,0.47,0.53,366,399,0.78,0.8,18,12,3,2,0,0,1,1,2,6
22-23-093,9/10/22,CARTAGENA,LEGANES,1,2,17,9,7,5,0.6,0.4,471,323,0.82,0.74,16,11,2,4,0,0,4,1,4,2
22-23-094,9/10/22,ZARAGOZA,OVIEDO,1,1,10,9,3,2,0.55,0.45,330,280,0.68,0.67,15,12,4,2,0,0,3,5,13,2
22-23-095,9/10/22,LEVANTE,SANTANDER,0,1,10,19,4,7,0.71,0.29,515,223,0.82,0.66,20,11,3,2,0,2,2,0,5,2
22-23-096,9/10/22,ALBACETE,TENERIFE,1,1,4,13,2,5,0.45,0.55,340,398,0.73,0.77,11,15,1,1,1,0,0,2,5,13
22-23-097,9/10/22,MALAGA,ANDORRA,0,0,10,7,1,2,0.46,0.54,379,443,0.75,0.79,16,10,5,1,0,1,2,3,1,6
22-23-098,10/10/22,EIBAR,MIRANDES,0,0,16,12,5,4,0.52,0.48,422,404,0.76,0.75,9,14,2,1,0,0,4,0,3,3
22-23-099,12/10/22,VILLARREALB,PONFERRADINA,2,2,23,9,10,5,0.52,0.48,436,415,0.83,0.83,9,14,3,4,0,0,4,2,8,3
22-23-100,12/10/22,ANDORRA,BURGOS,0,1,20,11,4,2,0.84,0.16,797,155,0.92,0.65,8,10,2,1,0,0,1,1,12,4
22-23-101,12/10/22,LEGANES,MALAGA,1,0,4,12,1,1,0.39,0.61,349,527,0.73,0.84,8,10,0,3,0,0,0,2,2,6
22-23-102,12/10/22,TENERIFE,CARTAGENA,0,0,17,8,3,1,0.39,0.61,308,493,0.78,0.83,15,18,2,3,0,0,1,5,8,3
22-23-103,12/10/22,OVIEDO,HUESCA,0,1,12,6,3,2,0.59,0.41,350,252,0.7,0.65,14,21,2,3,0,0,2,1,8,3
22-23-104,12/10/22,ALAVES,ALBACETE,0,0,6,8,2,1,0.52,0.48,399,384,0.77,0.79,14,13,4,4,0,0,2,3,6,1
22-23-105,12/10/22,LUGO,PALMAS,0,1,7,15,2,5,0.33,0.67,261,557,0.63,0.84,17,7,3,1,0,0,2,2,2,9
22-23-106,12/10/22,SANTANDER,ZARAGOZA,1,0,23,4,9,0,0.49,0.51,271,299,0.77,0.80,9,17,3,6,0,1,0,2,10,3
22-23-107,13/10/22,MIRANDES,LEVANTE,0,1,25,12,8,5,0.51,0.49,429,429,0.84,0.78,14,14,3,2,0,0,1,0,6,5
22-23-108,13/10/22,IBIZA,EIBAR,1,2,6,17,2,3,0.4,0.6,321,463,0.69,0.8,15,8,3,2,1,0,1,4,3,2
22-23-109,13/10/22,GRANADA,GIJON,5,0,13,12,8,3,0.58,0.42,463,328,0.81,0.74,7,14,0,2,0,0,2,3,2,4
22-23-110,15/10/22,ZARAGOZA,VILLARREALB,2,1,17,8,4,4,0.51,0.49,377,362,0.81,0.76,11,6,4,2,0,0,1,1,8,7
22-23-111,15/10/22,ANDORRA,ALAVES,0,1,9,9,2,5,0.78,0.22,739,203,0.9,0.7,13,13,1,2,0,0,0,3,5,5
22-23-112,15/10/22,HUESCA,SANTANDER,0,0,10,11,2,1,0.58,0.42,417,295,0.76,0.66,20,9,1,0,0,0,2,2,3,7
22-23-113,15/10/22,PONFERRADINA,PALMAS,0,1,8,7,1,2,0.24,0.76,242,791,0.74,0.93,13,10,4,3,1,0,8,6,4,4
22-23-114,15/10/22,ALBACETE,OVIEDO,1,0,10,10,4,3,0.57,0.43,414,314,0.78,0.74,9,14,2,4,0,0,2,2,3,4
22-23-115,16/10/22,LEVANTE,LEGANES,2,1,15,10,6,4,0.55,0.45,442,364,0.85,0.75,17,17,3,3,0,0,2,2,2,4
22-23-116,16/10/22,BURGOS,MIRANDES,2,1,7,26,2,7,0.3,0.7,235,532,0.63,0.86,9,8,2,0,1,0,1,1,2,8
22-23-117,16/10/22,MALAGA,LUGO,3,2,13,17,5,7,0.56,0.44,397,311,0.8,0.73,11,10,3,3,0,0,2,2,6,5
22-23-118,16/10/22,TENERIFE,GRANADA,2,0,8,8,4,5,0.45,0.55,324,410,0.81,0.79,16,9,3,5,0,0,5,2,4,0
22-23-119,16/10/22,CARTAGENA,IBIZA,2,0,18,15,6,5,0.51,0.49,457,430,0.8,0.81,13,11,4,1,0,0,4,1,5,3
22-23-120,17/10/22,GIJON,EIBAR,2,0,9,13,5,1,0.39,0.61,324,508,0.72,0.79,13,7,1,1,0,0,2,3,3,4
22-23-121,21/10/22,GRANADA,ZARAGOZA,1,0,14,7,6,0,0.48,0.52,308,338,0.7,0.68,13,12,5,1,0,0,3,6,8,5
22-23-122,22/10/22,VILLARREALB,ANDORRA,1,0,10,14,4,3,0.23,0.77,214,722,0.67,0.9,13,16,1,1,0,0,1,1,0,3
22-23-123,22/10/22,MIRANDES,HUESCA,1,1,13,7,7,3,0.47,0.53,323,358,0.74,0.75,12,10,4,1,0,0,1,2,6,5
22-23-124,22/10/22,ALAVES,GIJON,0,0,12,11,2,0,0.48,0.52,346,362,0.7,0.72,10,16,2,3,0,0,0,5,3,2
22-23-125,22/10/22,IBIZA,LEVANTE,1,2,8,12,4,6,0.53,0.47,391,347,0.78,0.75,15,20,2,4,0,1,4,0,1,8
